"store_id","store_name","si_name","si_size","git_size","unit_count","si_id","git_id","store_item_active","si_instock","si_image","git_image","price","si_upc","git_upc"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Smartwater Watermln Cucumber 700ml","700 ml","23.7 oz bottle",NULL,"5b085c02-f7cb-4fb8-8271-b42671ff12ed","8e16a5e7-7e56-4f51-83f7-b73d94172931",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Water/6ebbcfb9-46bc-4898-9748-59f205a09860.webp}","2.79",NULL,"786162006127"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","M&Ms Peanut Butter King Size","1 ct","2.83 oz",NULL,"f0e6c744-9dd0-4b2f-9e2e-ed324ca3999a","41dec4d4-6112-4282-8f4b-8f0e2b73a9dc",True,True,NULL,"{https://menu-item-images-bucket.s3.amazonaws.com/463d1ba6-4ed7-4a08-a2a3-68ef2e433564_40000002239.png}","2.99",NULL,"40000002239"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","C4 Skittles 16oz","16 oz","16 oz can",NULL,"e54e44d7-37bc-4be8-a7f8-93bee1c3e2ba","b3a37b47-26b6-4197-a492-d45c31eb385b",True,True,NULL,"{""https://res.cloudinary.com/nassau-candy/image/upload/c_fit,w_1000,h_1000,f_auto/v1670353357/50685.jpg""}","3.19",NULL,"842595121766"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Reeses Pieces","1 ct","4 oz",NULL,"2a736047-bae9-4f1d-b33e-18453b7f1e78","3f94a601-3a80-4632-bfa2-e92371698df3",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/2bab340b-e00b-4736-b211-c5dd60360e17.webp}","2.59",NULL,"34000114702"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Lay'S Bbq Lss","1 ct","1.5 oz",NULL,"0437c84e-8cd8-42a2-98d5-d6686058db2e","7d57807c-b180-44de-880e-4e21529179f8",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Snacks/54c00d32-8ca3-4877-82f9-0c976e261a90.webp}","1.49",NULL,"28400003001"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Dr Pepper 6pk 7.5oz","7.5 oz","6 Pack - 7.5 oz cans",NULL,"a7e7e70e-4fbc-44ed-869c-9b8efcb7c571","e7946f25-2f05-4d81-86fa-7e24c5e374a8",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Soda/f50e1c13-597d-4fab-a5f6-51d35235591f.webp}","4.99",NULL,"78000002041"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Earthquake Hg Lager","24 oz","24 oz can",NULL,"e22cd5b6-3e58-42c8-92fc-6c149ade321b","6d71b1ff-7055-4224-bbf6-26da2f813469",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/9d057f4e-eb52-464a-81da-19bf4b620d5e/Beer/c039ec42-0f0f-407a-96b4-e64a85cbb611.webp}","1.99",NULL,"895216001091"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Barebells Slt Pnut Caramel","1 ct","1.94 oz",NULL,"a18f610d-86ea-40b5-80d4-029de5dafeb8","691cd302-2847-464c-aa7f-68b64d9a03fc",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/63fa754c-c2b4-494d-a147-82ae0323dfba.webp}","3.19",NULL,"850000429772"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Coors Aluminum Bottle","16 oz","9 Pack - 16 oz aluminum bottles",NULL,"26241384-9420-420b-8811-3035836facf5","1c892e2f-0012-443b-b316-4c8b3714c0da",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Beer/3bb6028b-b113-45b7-811e-8b9130958c42.webp}","15.99",NULL,"71990170226"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Ariz Tea Arnold Palmer 23oz","23 oz","23 oz can",NULL,"0bf30e69-c7f4-48b3-893d-5695665dba53","35bdf22b-c33a-4693-a8ed-38cc33aa1d72",True,True,NULL,"{https://go-upc.s3.amazonaws.com/images/60915954.png}","1.79",NULL,"613008756468"
