"store_id","si_id","git_id","si_name","git_name","si_size","git_size","si_count","git_count","si_desc","git_desc","si_price","si_upc","git_upc","category","si_image","git_image","si_active","si_instock","tags"
"09f03ee1-68aa-43be-b88b-d1002df978f7","cc91dc5e-888a-48cb-9ede-dcd474853b43","e96959c2-fded-4feb-b698-7bbab145a40e","Starbucks Nitro Dark Cocoa 9.6oz","Starbucks Nitro Cold Brew Dark Cocoa Sweet Cream","9.6 oz","9.6 oz can",NULL,"",NULL,"9.6 oz can","4.39",NULL,"12000204784","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/c3e3c908-ccb0-467c-a9e9-2458afcbbeff.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","3efdaceb-6ee5-4604-9b83-9ba0ef14e1f1","81be899e-ef33-4f5d-b77e-7c790a0087d4","Starbucks Nitro Drk Black 9.6oz","Starbucks Nitro Cold Brew Black","9.6 oz","9.6 oz can",NULL,"",NULL,"9.6 oz can","4.39",NULL,"12000192869","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/aabb87d6-f17d-41ba-9d6e-f3c69ccc2bf5.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","986ecd12-7a9d-49bc-8ad6-6b95a9f14eb4","448a48e5-75ec-4b21-b732-5152b6ea875a","Starbucks Nitro Sweet Cream 9.6oz","Starbucks Nitro Cold Brew Sweet Cream","9.6 oz","9.6 oz can",NULL,"",NULL,"9.6 oz can","4.39",NULL,"12000204807","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/72095a53-36fd-443a-9000-572213fed4c8/Coffee/6295bd33-4e93-463d-b3ef-32269c555148.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","a271e390-3940-407b-a275-4c58e0010f40","ec656462-900d-4bee-8e3c-77fe96246d34","Starbucks Nitro Vanilla 9.6oz","Starbucks Nitro Cold Brew Vanilla Sweet Cream","9.6 oz","9.6 oz can",NULL,"",NULL,"9.6 oz can","4.39",NULL,"12000192906","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/72095a53-36fd-443a-9000-572213fed4c8/Coffee/b17f1c36-f280-43f8-a023-a257d9400c65.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","d19dc54e-da6a-410b-a7ee-52bcb3b690d2","3f7b61db-12c1-49b1-b17c-bf3dfa23244c","Starbucks Paradise Drink 14oz","Starbucks Paradise Drink","14 oz","14 oz bottle",NULL,"1",NULL,"14 oz bottle","4.39",NULL,"98100100119","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/items/Juice-and-Tea/3f7b61db-12c1-49b1-b17c-bf3dfa23244c_1707253492758.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","4dca4695-1ce7-41e7-9cae-63e9221dafcd","35bc14e3-9fd1-4f07-b6c2-d466c1d241f1","Starbucks Pink Drink 14oz","Starbucks Pink Drink","14 oz","14 oz bottle",NULL,"1",NULL,"14 oz bottle","4.39",NULL,"98100100096","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Juice-and-Tea/1e91f41f-8f18-4bc9-96d8-c0618de3f542.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","0d85914d-d2a7-4200-b3e3-36e1df46bfdf","4fcf6595-faab-4a24-b089-0cdb3da736ec","Starbucks Trpl Shot Caramel 15oz","Starbucks Tripleshot Caramel","15 oz","15 oz can",NULL,"",NULL,"15 oz can","4.39",NULL,"12000181337","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/9219850a-a4da-4b11-95cd-7300f1b6c5dd/Coffee/600ef678-daea-4a96-b0ce-62acce3a7c65.webp}",True,True,"{Enriched,Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","de5583c4-c498-480d-9f7d-3530d7153a79","8ce42581-eb65-4318-b682-efc002e980c4","Starbucks Trpl Shot Mocha 15oz","Starbucks Tripleshot Mocha","15 oz","15 oz can",NULL,"",NULL,"15 oz can","4.39",NULL,"12000181290","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/0e69e490-4b44-42c0-b52b-843992ffa175.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","7b4a09f9-a806-456e-b145-bf4e1a62a80e","e1b510a9-7172-4408-8258-356616c54654","Starbucks Trpl Shot Vanilla 15oz","Starbucks Tripleshot Vanilla","15 oz","15 oz can",NULL,"",NULL,"15 oz can","4.39",NULL,"12000181313","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/9219850a-a4da-4b11-95cd-7300f1b6c5dd/Coffee/28e8560b-b51d-4287-ac6f-1cb2a9039e0d.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","4442b284-3f9a-4f86-b19e-e45afe4f9b74","d1ac9d0f-7d0b-4e62-8304-497f645c9046","Starburst All Pink King King Size","Starburst All Pink Chews","1 ct","3.45 oz",NULL,"",NULL,"3.45 oz","2.99",NULL,"22000278630","Candy",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/944d7148-571f-410d-9354-a8eb8b0c308c/Candy/f58d8e78-cbf5-4fc4-8393-d786dbc4b7ff.webp}",True,True,"{Certified}"
